"Date","Time","State","State No","Scale","Injuries","Fatalities","Start Lat","Start Lon","Length","Width"
"1950-02-12","13:00:00","LA","1","4","77","18","31.97","-94.0","82.6","100.0"
"1950-02-12","13:20:00","LA","2","2","10","5","32.2","-93.58","58.4","100.0"
"1950-02-12","14:00:00","LA","4","3","25","5","31.63","-93.65","74.5","100.0"
"1950-02-12","14:20:00","LA","3","2","0","0","0.0","0.0","0.0","0.0"
"1950-02-12","23:00:00","LA","5","1","0","0","32.6","-91.33","0.5","33.0"
"1950-03-19","07:30:00","LA","6","1","2","0","30.45","-93.45","2.0","33.0"
"1950-03-19","13:15:00","LA","7","2","0","0","30.1","-91.0","1.0","50.0"
"1950-03-19","13:15:00","LA","8","0","0","0","29.7","-90.1","18.1","27.0"
"1950-03-27","06:00:00","LA","9","1","2","0","32.63","-91.28","15.3","17.0"
"1950-03-27","08:30:00","LA","10","1","0","0","30.92","-91.13","0.5","27.0"
"1950-04-24","07:45:00","LA","11","1","0","0","30.1","-90.03","2.0","100.0"
"1950-05-01","01:00:00","LA","12","1","0","0","31.7","-93.3","2.0","100.0"
"1950-05-01","10:30:00","LA","13","1","0","0","31.95","-92.63","15.4","150.0"
"1950-05-01","11:25:00","LA","14","2","7","0","31.55","-92.9","3.6","100.0"
"1950-05-01","11:30:00","LA","16","0","0","0","31.75","-92.25","1.0","100.0"
"1950-05-01","11:30:00","LA","15","1","2","0","31.38","-91.73","1.0","100.0"
"1950-05-02","02:00:00","LA","17","1","1","0","31.67","-92.9","32.8","150.0"
"1950-05-02","03:00:00","LA","18","2","5","1","31.55","-91.97","2.0","100.0"
"1950-05-13","11:30:00","LA","19","1","0","0","31.15","-91.95","2.0","27.0"
"1950-05-29","23:00:00","LA","20","1","13","0","32.1","-93.9","1.0","27.0"
"1950-05-29","23:00:00","LA","21","1","0","0","31.67","-93.7","1.0","27.0"
"1951-01-06","17:30:00","LA","1","3","11","0","31.3","-92.47","16.8","317.0"
"1951-02-06","15:50:00","LA","2","1","0","0","30.5","-92.0","0.5","33.0"
"1951-02-06","17:00:00","LA","3","1","0","0","30.48","-90.42","4.9","33.0"
"1951-04-21","14:00:00","LA","4","0","2","0","31.72","-92.25","1.0","33.0"
